"ID акции";"Название акции";"Дата начала акции";"Дата окончания";"Статус"
17;"Скидка 60% на фирменный кофе и десерт Crepe suzette в кофейне Black berry";23-04-2011;29-04-2011;On
18;"Сделай Шаг вперед - настоящий танцевальный баттл в трех метрах от тебя";19-04-2011;24-04-2011;Off
19;"Идеальный маникюр на 3 недели без коррекции";30-04-2011;03-05-2011;Off
22;"Мексиканский ужин на Медео с 60% скидкой";10-05-2011;13-05-2011;On
23;"Полировка кузова + химчистка салона со скидкой 60%";03-05-2011;06-05-2011;On
24;"В отпуск к морю налегке";30-04-2011;30-05-2011;Off
25;"Быть звездой - это профессия!";30-04-2011;30-05-2011;Off
26;"Живи в гармонии и радости";02-05-2011;16-05-2011;On
28;"Ламинирование волос со скидкой 60% в салоне красоты Gaziza";06-05-2011;10-05-2011;Off
31;"Очень вкусное предложение";11-05-2011;11-06-2011;Off
